2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Denz, Nico', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Devriendt, Tom', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dillier, Silvan', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Doull, Owain', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dujardin, Sandy', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Démare, Arnaud', '81.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Edmondson, Alexander', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Eekhoff, Nils', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Eiking, Odd Christian', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Einhorn, Itamar', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ewan, Caleb', '15.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Fedorov, Yevgeniy', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:53 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Felline, Fabio', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Fetter, Erik', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Fiorelli, Filippo', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Formolo, Davide', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Fraile, Omar', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Gallopin, Tony', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ganna, Filippo', '41.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Garcia Cortina, Ivan', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Gavazzi, Francesco', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Gaviria, Fernando', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Geschke, Simon', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Gibbons, Ryan', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Girmay Hailu, Biniam', '29.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Govekar, Matevz', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Gregoire, Romain', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Groenewegen, Dylan', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Gross, Felix', '801.0', '2023/03/14 12:47:51')
