2023/03/14 12:06:22 - Entry: (1741, 'Unibet', 'Milano - Sanremo 2023', 'Mezgec, Luka', 601.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (332, 'Unibet', 'Milano - Sanremo 2023', 'Mezgec, Luka', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Milan, Jonathan', '67.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1742, 'Unibet', 'Milano - Sanremo 2023', 'Milan, Jonathan', 67.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1714, 'Unibet', 'Milano - Sanremo 2023', 'Milan, Jonathan', 81.0, '2023/03/12 22:30:10')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Mohoric, Matej', '12.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1743, 'Unibet', 'Milano - Sanremo 2023', 'Mohoric, Matej', 12.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1705, 'Unibet', 'Milano - Sanremo 2023', 'Mohoric, Matej', 11.0, '2023/03/12 18:29:10')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Molano, Juan Sebastian', '401.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1744, 'Unibet', 'Milano - Sanremo 2023', 'Molano, Juan Sebastian', 401.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (337, 'Unibet', 'Milano - Sanremo 2023', 'Molano, Juan Sebastian', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Oldani, Stefano', '601.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1745, 'Unibet', 'Milano - Sanremo 2023', 'Oldani, Stefano', 601.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (347, 'Unibet', 'Milano - Sanremo 2023', 'Oldani, Stefano', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Page, Hugo', '501.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1746, 'Unibet', 'Milano - Sanremo 2023', 'Page, Hugo', 501.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (349, 'Unibet', 'Milano - Sanremo 2023', 'Page, Hugo', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Penhoet, Paul', '501.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1747, 'Unibet', 'Milano - Sanremo 2023', 'Penhoet, Paul', 501.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (353, 'Unibet', 'Milano - Sanremo 2023', 'Penhoet, Paul', 251.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Philipsen, Jasper', '21.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1748, 'Unibet', 'Milano - Sanremo 2023', 'Philipsen, Jasper', 21.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1706, 'Unibet', 'Milano - Sanremo 2023', 'Philipsen, Jasper', 19.0, '2023/03/12 18:29:10')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Pogacar, Tadej', '7.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1749, 'Unibet', 'Milano - Sanremo 2023', 'Pogacar, Tadej', 7.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1425, 'Unibet', 'Milano - Sanremo 2023', 'Pogacar, Tadej', 8.0, '2023/03/12 15:02:40')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Sagan, Peter', '101.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1750, 'Unibet', 'Milano - Sanremo 2023', 'Sagan, Peter', 101.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1708, 'Unibet', 'Milano - Sanremo 2023', 'Sagan, Peter', 81.0, '2023/03/12 18:29:10')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Schachmann, Maximilian', '501.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1751, 'Unibet', 'Milano - Sanremo 2023', 'Schachmann, Maximilian', 501.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (369, 'Unibet', 'Milano - Sanremo 2023', 'Schachmann, Maximilian', 251.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Serrano, Gonzalo', '401.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1752, 'Unibet', 'Milano - Sanremo 2023', 'Serrano, Gonzalo', 401.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (371, 'Unibet', 'Milano - Sanremo 2023', 'Serrano, Gonzalo', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Stewart, Jake', '301.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1753, 'Unibet', 'Milano - Sanremo 2023', 'Stewart, Jake', 301.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (378, 'Unibet', 'Milano - Sanremo 2023', 'Stewart, Jake', 251.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Stybar, Zdenek', '301.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1754, 'Unibet', 'Milano - Sanremo 2023', 'Stybar, Zdenek', 301.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (381, 'Unibet', 'Milano - Sanremo 2023', 'Stybar, Zdenek', 201.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Teunissen, Mike', '301.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1755, 'Unibet', 'Milano - Sanremo 2023', 'Teunissen, Mike', 301.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (385, 'Unibet', 'Milano - Sanremo 2023', 'Teunissen, Mike', 201.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Teuns, Dylan', '401.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1756, 'Unibet', 'Milano - Sanremo 2023', 'Teuns, Dylan', 401.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (386, 'Unibet', 'Milano - Sanremo 2023', 'Teuns, Dylan', 251.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Tratnik, Jan', '81.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1757, 'Unibet', 'Milano - Sanremo 2023', 'Tratnik, Jan', 81.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1710, 'Unibet', 'Milano - Sanremo 2023', 'Tratnik, Jan', 101.0, '2023/03/12 18:29:10')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Van Aert, Wout', '5.5', '2023/03/14 12:06:21')
